source,title,summary,link,published,collected_at,clean_title,clean_summary,combined_text,clean_combined_text,label_model
skynewsarabia,تقرير: ترامب يوقع خلال ساعات أمرا بشأن تخفيف عقوبات سوريا,"ذكر مراسل لشبكة سي.بي.إس على منصة ""إكس"" أن الرئيس الأميركي دونالد ترامب سيوقع في وقت لاحق، الاثنين، أمرا تنفيذيا يتعلق بتخفيف العقوبات على سوريا.",https://www.skynewsarabia.com/middle-east/1805983-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D9%88%D9%82%D8%B9-%D8%B3%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%94%D9%85%D8%B1%D8%A7-%D8%A8%D8%B4%D8%A7%D9%94%D9%86-%D8%AA%D8%AE%D9%81%D9%8A%D9%81-%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,"Mon, 30 Jun 2025 15:04:46 GMT",2025-06-30T15:19:24.323144,تقرير ترامب يوقع خلال ساعات أمرا بشأن تخفيف عقوبات سوريا,ذكر مراسل لشبكة سيبيإس منصة إكس الرئيس الأميركي دونالد ترامب سيوقع وقت لاحق الاثنين أمرا تنفيذيا يتعلق بتخفيف العقوبات سوريا,"تقرير: ترامب يوقع خلال ساعات أمرا بشأن تخفيف عقوبات سوريا ذكر مراسل لشبكة سي.بي.إس على منصة ""إكس"" أن الرئيس الأميركي دونالد ترامب سيوقع في وقت لاحق، الاثنين، أمرا تنفيذيا يتعلق بتخفيف العقوبات على سوريا.",تقرير ترامب يوقع خلال ساعات أمرا بشأن تخفيف عقوبات سوريا ذكر مراسل لشبكة سيبيإس منصة إكس الرئيس الأميركي دونالد ترامب سيوقع وقت لاحق الاثنين أمرا تنفيذيا يتعلق بتخفيف العقوبات سوريا,سياسة
skynewsarabia,الإمارات تعزي في ضحايا انهيار منجم ذهب في السودان,عبّرت دولة الإمارات عن تعازيها الصادقة وتضامنها مع أسر وذوي الضحايا والشعب السوداني الشقيق في حادث انهيار منجم لتعدين الذهب في منطقة هويد.,https://www.skynewsarabia.com/middle-east/1805985-%D8%A7%D9%84%D8%A7%D9%95%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D8%B9%D8%B2%D9%8A-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7-%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D9%85%D9%86%D8%AC%D9%85-%D8%B0%D9%87%D8%A8-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,"Mon, 30 Jun 2025 15:01:39 GMT",2025-06-30T15:19:24.323144,الإمارات تعزي ضحايا انهيار منجم السودان,عبرت دولة الإمارات تعازيها الصادقة وتضامنها أسر وذوي الضحايا والشعب السوداني الشقيق حادث انهيار منجم لتعدين الذهب منطقة هويد,الإمارات تعزي في ضحايا انهيار منجم ذهب في السودان عبّرت دولة الإمارات عن تعازيها الصادقة وتضامنها مع أسر وذوي الضحايا والشعب السوداني الشقيق في حادث انهيار منجم لتعدين الذهب في منطقة هويد.,الإمارات تعزي ضحايا انهيار منجم السودان عبرت دولة الإمارات تعازيها الصادقة وتضامنها أسر وذوي الضحايا والشعب السوداني الشقيق حادث انهيار منجم لتعدين الذهب منطقة هويد,اجتماعي
skynewsarabia,مصادر: محادثات مباشرة بين سوريا وإسرائيل بشأن ترتيبات أمنية,"تجري إسرائيل وسوريا محادثات مباشرة تركز على ""ترتيبات أمنية محدودة"" والانسحاب المحتمل للقوات الإسرائيلية من الأراضي المحتلة في جنوب سوريا، وفقا لما ذكرته مصادر سورية لوكالة الأنباء الألمانية (د ب أ).",https://www.skynewsarabia.com/middle-east/1805984-%D9%85%D8%B5%D8%A7%D8%AF%D8%B1-%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D8%A7%D8%AA-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%88%D8%A7%D9%95%D8%B3%D8%B1%D8%A7%D9%8A%D9%94%D9%8A%D9%84-%D8%A8%D8%B4%D8%A7%D9%94%D9%86-%D8%AA%D8%B1%D8%AA%D9%8A%D8%A8%D8%A7%D8%AA-%D8%A7%D9%94%D9%85%D9%86%D9%8A%D8%A9,"Mon, 30 Jun 2025 15:00:45 GMT",2025-06-30T15:19:24.323144,مصادر محادثات مباشرة سوريا وإسرائيل بشأن ترتيبات أمنية,تجري إسرائيل وسوريا محادثات مباشرة تركز ترتيبات أمنية محدودة والانسحاب المحتمل للقوات الإسرائيلية الأراضي المحتلة جنوب سوريا وفقا ذكرته مصادر سورية لوكالة الأنباء الألمانية,"مصادر: محادثات مباشرة بين سوريا وإسرائيل بشأن ترتيبات أمنية تجري إسرائيل وسوريا محادثات مباشرة تركز على ""ترتيبات أمنية محدودة"" والانسحاب المحتمل للقوات الإسرائيلية من الأراضي المحتلة في جنوب سوريا، وفقا لما ذكرته مصادر سورية لوكالة الأنباء الألمانية (د ب أ).",مصادر محادثات مباشرة سوريا وإسرائيل بشأن ترتيبات أمنية تجري إسرائيل وسوريا محادثات مباشرة تركز ترتيبات أمنية محدودة والانسحاب المحتمل للقوات الإسرائيلية الأراضي المحتلة جنوب سوريا وفقا ذكرته مصادر سورية لوكالة الأنباء الألمانية,سياسة
skynewsarabia,"قصف إسرائيلي مباغت يقتل 24 شخصا في ""استراحة"" على شاطئ غزة","أكدت وسائل إعلام فلسطينية، قيام الجيش الإسرائيلي بهجمات جوية مباغتة أسفرت عن 24 قتيلا في استراحة ""الباقة"" على شاطئ بحر مدينة غزة.",https://www.skynewsarabia.com/middle-east/1805981-%D9%82%D8%B5%D9%81-%D8%A7%D9%95%D8%B3%D8%B1%D8%A7%D9%8A%D9%94%D9%8A%D9%84%D9%8A-%D9%85%D8%A8%D8%A7%D8%BA%D8%AA-%D9%8A%D9%82%D8%AA%D9%84-24-%D8%B4%D8%AE%D8%B5%D8%A7-%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9-%D8%B4%D8%A7%D8%B7%D9%8A%D9%94-%D8%BA%D8%B2%D8%A9,"Mon, 30 Jun 2025 14:18:38 GMT",2025-06-30T15:19:24.323144,قصف إسرائيلي مباغت يقتل 24 شخصا استراحة شاطئ غزة,أكدت وسائل إعلام فلسطينية قيام الجيش الإسرائيلي بهجمات جوية مباغتة أسفرت 24 قتيلا استراحة الباقة شاطئ بحر مدينة غزة,"قصف إسرائيلي مباغت يقتل 24 شخصا في ""استراحة"" على شاطئ غزة أكدت وسائل إعلام فلسطينية، قيام الجيش الإسرائيلي بهجمات جوية مباغتة أسفرت عن 24 قتيلا في استراحة ""الباقة"" على شاطئ بحر مدينة غزة.",قصف إسرائيلي مباغت يقتل 24 شخصا استراحة شاطئ غزة أكدت وسائل إعلام فلسطينية قيام الجيش الإسرائيلي بهجمات جوية مباغتة أسفرت 24 قتيلا استراحة الباقة شاطئ بحر مدينة غزة,سياسة
skynewsarabia,"""حملة ممنهجة"".. بيان من محامي شيرين بعد جدل ""موازين""","قال محامي الفنانة شيرين عبد الوهاب ياسر قنطوش، إن المطربة المصرية تتعرض لما وصفها بـ""حملة ممنهجة"" لتدمير أي نجاح تقوم به، وذلك بعد الانتقادات التي تعرضت لها في إطار مشاركتها في مهرجان ""موازين إيقاعات العالم"" المنظم في العاصمة المغربية الرباط.",https://www.skynewsarabia.com/varieties/1805977-%D8%AD%D9%85%D9%84%D8%A9-%D9%85%D9%85%D9%86%D9%87%D8%AC%D8%A9-%D8%A8%D9%8A%D8%A7%D9%86-%D9%85%D8%AD%D8%A7%D9%85%D9%8A-%D8%B4%D9%8A%D8%B1%D9%8A%D9%86-%D8%AC%D8%AF%D9%84-%D9%85%D9%88%D8%A7%D8%B2%D9%8A%D9%86,"Mon, 30 Jun 2025 14:08:43 GMT",2025-06-30T15:19:24.323144,حملة ممنهجة بيان محامي شيرين جدل موازين,قال محامي الفنانة شيرين عبد الوهاب ياسر قنطوش المطربة المصرية تتعرض وصفها بـحملة ممنهجة لتدمير نجاح تقوم وذلك الانتقادات تعرضت إطار مشاركتها مهرجان موازين إيقاعات العالم المنظم العاصمة المغربية الرباط,"""حملة ممنهجة"".. بيان من محامي شيرين بعد جدل ""موازين"" قال محامي الفنانة شيرين عبد الوهاب ياسر قنطوش، إن المطربة المصرية تتعرض لما وصفها بـ""حملة ممنهجة"" لتدمير أي نجاح تقوم به، وذلك بعد الانتقادات التي تعرضت لها في إطار مشاركتها في مهرجان ""موازين إيقاعات العالم"" المنظم في العاصمة المغربية الرباط.",حملة ممنهجة بيان محامي شيرين جدل موازين قال محامي الفنانة شيرين عبد الوهاب ياسر قنطوش المطربة المصرية تتعرض وصفها بـحملة ممنهجة لتدمير نجاح تقوم وذلك الانتقادات تعرضت إطار مشاركتها مهرجان موازين إيقاعات العالم المنظم العاصمة المغربية الرباط,ثقافة
skynewsarabia,فيديو.. دبي تطلق أول رحلة تجريبية للتاكسي الجوي,"أكد الشيخ حمدان بن محمد بن راشد آل مكتوم، ولي عهد دبي نائب رئيس مجلس الوزراء وزير الدفاع، رئيس المجلس التنفيذي لإمارة دبي، أن رؤية الشيخ محمد بن راشد آل مكتوم، نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي، تشكل الأساس لإسهام دبي الملموس في تشكيل ملامح مستقبل واعد ومستدام للعديد من القطاعات الحيوية عالميا، عبر إطلاق وتبنّي خدمات وحلول نوعية تدعمها شراكات إستراتيجية مع أهم وأبرز المبتكرين حول العالم.",https://www.skynewsarabia.com/technology/1805946-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%AF%D8%A8%D9%8A-%D8%AA%D8%B7%D9%84%D9%82-%D8%B1%D8%AD%D9%84%D8%A9-%D8%AA%D8%AC%D8%B1%D9%8A%D8%A8%D9%8A%D8%A9-%D9%84%D9%84%D8%AA%D8%A7%D9%83%D8%B3%D9%8A-%D8%A7%D9%84%D8%AC%D9%88%D9%8A,"Mon, 30 Jun 2025 13:56:17 GMT",2025-06-30T15:19:24.323144,فيديو دبي تطلق رحلة تجريبية للتاكسي الجوي,أكد الشيخ حمدان بن محمد بن راشد آل مكتوم ولي عهد دبي نائب رئيس مجلس الوزراء وزير الدفاع رئيس المجلس التنفيذي لإمارة دبي رؤية الشيخ محمد بن راشد آل مكتوم نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي تشكل الأساس لإسهام دبي الملموس تشكيل ملامح مستقبل واعد ومستدام للعديد القطاعات الحيوية عالميا عبر إطلاق وتبني خدمات وحلول نوعية تدعمها شراكات إستراتيجية أهم وأبرز المبتكرين حول العالم,"فيديو.. دبي تطلق أول رحلة تجريبية للتاكسي الجوي أكد الشيخ حمدان بن محمد بن راشد آل مكتوم، ولي عهد دبي نائب رئيس مجلس الوزراء وزير الدفاع، رئيس المجلس التنفيذي لإمارة دبي، أن رؤية الشيخ محمد بن راشد آل مكتوم، نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي، تشكل الأساس لإسهام دبي الملموس في تشكيل ملامح مستقبل واعد ومستدام للعديد من القطاعات الحيوية عالميا، عبر إطلاق وتبنّي خدمات وحلول نوعية تدعمها شراكات إستراتيجية مع أهم وأبرز المبتكرين حول العالم.",فيديو دبي تطلق رحلة تجريبية للتاكسي الجوي أكد الشيخ حمدان بن محمد بن راشد آل مكتوم ولي عهد دبي نائب رئيس مجلس الوزراء وزير الدفاع رئيس المجلس التنفيذي لإمارة دبي رؤية الشيخ محمد بن راشد آل مكتوم نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي تشكل الأساس لإسهام دبي الملموس تشكيل ملامح مستقبل واعد ومستدام للعديد القطاعات الحيوية عالميا عبر إطلاق وتبني خدمات وحلول نوعية تدعمها شراكات إستراتيجية أهم وأبرز المبتكرين حول العالم,تكنولوجيا
skynewsarabia,حادث اختفاء طفلة وسط البحر يثير صدمة واسعة في تونس,"تحولت رحلة استجمام لعائلة تونسية بشاطئ قليبية، شمال شرقي البلاد، إلى مأساة، بعد فقدان طفلتهم مريم، البالغة من العمر ثلاث سنوات، في ظروف لا تزال غامضة منذ يوم السبت الماضي.",https://www.skynewsarabia.com/varieties/1805961-%D8%AD%D8%A7%D8%AF%D8%AB-%D8%A7%D8%AE%D8%AA%D9%81%D8%A7%D8%A1-%D8%B7%D9%81%D9%84%D8%A9-%D9%88%D8%B3%D8%B7-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D9%8A%D8%AB%D9%8A%D8%B1-%D8%B5%D8%AF%D9%85%D8%A9-%D9%88%D8%A7%D8%B3%D8%B9%D8%A9-%D8%AA%D9%88%D9%86%D8%B3,"Mon, 30 Jun 2025 13:37:08 GMT",2025-06-30T15:19:24.323144,حادث اختفاء طفلة وسط البحر يثير صدمة واسعة تونس,تحولت رحلة استجمام لعائلة تونسية بشاطئ قليبية شرقي البلاد مأساة فقدان طفلتهم مريم البالغة العمر سنوات ظروف تزال غامضة يوم السبت الماضي,"حادث اختفاء طفلة وسط البحر يثير صدمة واسعة في تونس تحولت رحلة استجمام لعائلة تونسية بشاطئ قليبية، شمال شرقي البلاد، إلى مأساة، بعد فقدان طفلتهم مريم، البالغة من العمر ثلاث سنوات، في ظروف لا تزال غامضة منذ يوم السبت الماضي.",حادث اختفاء طفلة وسط البحر يثير صدمة واسعة تونس تحولت رحلة استجمام لعائلة تونسية بشاطئ قليبية شرقي البلاد مأساة فقدان طفلتهم مريم البالغة العمر سنوات ظروف تزال غامضة يوم السبت الماضي,اجتماعي
skynewsarabia,"بعد ضربة إيران.. رئيس معهد وايزمان الإسرائيلي يكشف ""الخسائر""","كشف رئيس معهد ""وايزمان"" للأبحاث في إسرائيل، ألون حاين، حجم الضرر الذي لحق بالمختبرات والمنشآت التابعة للمعهد نتيجة إصابة بصاروخ إيراني.",https://www.skynewsarabia.com/world/1805951-%D8%B6%D8%B1%D8%A8%D8%A9-%D8%A7%D9%95%D9%8A%D8%B1%D8%A7%D9%86-%D8%B1%D9%8A%D9%94%D9%8A%D8%B3-%D9%85%D8%B9%D9%87%D8%AF-%D9%88%D8%A7%D9%8A%D8%B2%D9%85%D8%A7%D9%86-%D8%A7%D9%84%D8%A7%D9%95%D8%B3%D8%B1%D8%A7%D9%8A%D9%94%D9%8A%D9%84%D9%8A-%D9%8A%D9%83%D8%B4%D9%81-%D8%A7%D9%84%D8%AE%D8%B3%D8%A7%D9%8A%D9%94%D8%B1,"Mon, 30 Jun 2025 13:34:43 GMT",2025-06-30T15:19:24.323144,ضربة إيران رئيس معهد وايزمان الإسرائيلي يكشف الخسائر,كشف رئيس معهد وايزمان للأبحاث إسرائيل ألون حاين حجم الضرر لحق بالمختبرات والمنشآت التابعة للمعهد نتيجة إصابة بصاروخ إيراني,"بعد ضربة إيران.. رئيس معهد وايزمان الإسرائيلي يكشف ""الخسائر"" كشف رئيس معهد ""وايزمان"" للأبحاث في إسرائيل، ألون حاين، حجم الضرر الذي لحق بالمختبرات والمنشآت التابعة للمعهد نتيجة إصابة بصاروخ إيراني.",ضربة إيران رئيس معهد وايزمان الإسرائيلي يكشف الخسائر كشف رئيس معهد وايزمان للأبحاث إسرائيل ألون حاين حجم الضرر لحق بالمختبرات والمنشآت التابعة للمعهد نتيجة إصابة بصاروخ إيراني,سياسة
skynewsarabia,النفط يتراجع بفعل تهدئة التوترات وترقب قرار أوبك+ المقبل,"تراجعت أسعار النفط خلال تعاملات الاثنين، في ظل انحسار المخاطر الجيوسياسية بالشرق الأوسط، بالتزامن مع توقعات بزيادة جديدة في إنتاج أوبك+ خلال أغسطس المقبل، واستمرار حالة الضبابية بشأن الطلب العالمي.",https://www.skynewsarabia.com/business/1805958-%D8%A7%D9%84%D9%86%D9%81%D8%B7-%D9%8A%D8%AA%D8%B1%D8%A7%D8%AC%D8%B9-%D8%A8%D9%81%D8%B9%D9%84-%D8%AA%D9%87%D8%AF%D9%8A%D9%94%D8%A9-%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%B1%D8%A7%D8%AA-%D9%88%D8%AA%D8%B1%D9%82%D8%A8-%D9%82%D8%B1%D8%A7%D8%B1-%D8%A7%D9%94%D9%88%D8%A8%D9%83-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D9%84,"Mon, 30 Jun 2025 13:00:11 GMT",2025-06-30T15:19:24.323144,النفط يتراجع بفعل تهدئة التوترات وترقب قرار أوبك المقبل,تراجعت أسعار النفط خلال تعاملات الاثنين ظل انحسار المخاطر الجيوسياسية بالشرق الأوسط بالتزامن توقعات بزيادة جديدة إنتاج أوبك خلال المقبل واستمرار حالة الضبابية بشأن الطلب العالمي,"النفط يتراجع بفعل تهدئة التوترات وترقب قرار أوبك+ المقبل تراجعت أسعار النفط خلال تعاملات الاثنين، في ظل انحسار المخاطر الجيوسياسية بالشرق الأوسط، بالتزامن مع توقعات بزيادة جديدة في إنتاج أوبك+ خلال أغسطس المقبل، واستمرار حالة الضبابية بشأن الطلب العالمي.",النفط يتراجع بفعل تهدئة التوترات وترقب قرار أوبك المقبل تراجعت أسعار النفط خلال تعاملات الاثنين ظل انحسار المخاطر الجيوسياسية بالشرق الأوسط بالتزامن توقعات بزيادة جديدة إنتاج أوبك خلال المقبل واستمرار حالة الضبابية بشأن الطلب العالمي, اقتصاد
skynewsarabia,نمو الاقتصاد المغربي 4.8% بالربع الأول بدعم الزراعة والصناعة,"سجل الاقتصاد المغربي نمواً بنسبة 4.8 بالمئة في الربع الأول من 2025، مقارنة بـ3 بالمئة في الفترة نفسها من العام الماضي، وفقاً لما أعلنت عنه المندوبية السامية للتخطيط، الاثنين.",https://www.skynewsarabia.com/business/1805948-%D9%86%D9%85%D9%88-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A-48-%D8%A8%D8%A7%D9%84%D8%B1%D8%A8%D8%B9-%D8%A7%D9%84%D8%A7%D9%94%D9%88%D9%84-%D8%A8%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9,"Mon, 30 Jun 2025 12:17:14 GMT",2025-06-30T15:19:24.323144,نمو الاقتصاد المغربي 48 بالربع الأول بدعم الزراعة والصناعة,سجل الاقتصاد المغربي نموا بنسبة 48 بالمئة الربع الأول 2025 مقارنة بـ3 بالمئة الفترة نفسها العام الماضي وفقا أعلنت عنه المندوبية السامية للتخطيط الاثنين,"نمو الاقتصاد المغربي 4.8% بالربع الأول بدعم الزراعة والصناعة سجل الاقتصاد المغربي نمواً بنسبة 4.8 بالمئة في الربع الأول من 2025، مقارنة بـ3 بالمئة في الفترة نفسها من العام الماضي، وفقاً لما أعلنت عنه المندوبية السامية للتخطيط، الاثنين.",نمو الاقتصاد المغربي 48 بالربع الأول بدعم الزراعة والصناعة سجل الاقتصاد المغربي نموا بنسبة 48 بالمئة الربع الأول 2025 مقارنة بـ3 بالمئة الفترة نفسها العام الماضي وفقا أعلنت عنه المندوبية السامية للتخطيط الاثنين,اقتصاد
